Wall time,Step,Value
1489331292.8363597,0,0.01022255141288042
1489331390.2341967,1,0.008382237516343594
1489331488.141043,2,0.00806755106896162
1489331585.9922705,3,0.007689983583986759
1489331683.7031891,4,0.00748253520578146
1489331781.5154567,5,0.007330026477575302
1489331879.2941945,6,0.007288846652954817
1489331976.740544,7,0.00721170986071229
1489332074.4957848,8,0.007004423066973686
1489332172.4462976,9,0.006968219298869371
1489332270.185164,10,0.006914644502103329
1489332367.9110606,11,0.006685705855488777
1489332465.6348803,12,0.006549971643835306
1489332563.1947787,13,0.006515484768897295
1489332661.0829992,14,0.006294737569987774
1489332758.6798172,15,0.006135534029453993
1489332856.5751526,16,0.005951746366918087
1489332954.0790699,17,0.005841849371790886
1489333051.707039,18,0.005743513815104961
1489333149.265737,19,0.005581873469054699
